Type_of_Source,Author,Title,Book_Title,Year,Month,Day,Pages,City,Publisher,Editor,Available_At,Year_Accessed,Month_Accessed,Day_Accessed
Web site,Statology,How to Use “NOT IN” Filter in Pandas (With Examples),,2021,,,,,,,https://www.statology.org/pandas-not-in/,2022,March,20
Web site,TDS,Ways to Detect and Remove the Outliers,,2018,,,,,,,https://towardsdatascience.com/ways-to-detect-and-remove-the-outliers-404d16608dba,2022,March,20
Web site,TDS,How to reuse your Python models without retraining them,,2020,,,,,,,https://towardsdatascience.com/how-to-reuse-your-python-models-without-retraining-them-39cd685659a5,2022,March,21
Web site,Stack Overflow,How to do N Cross validation in KNN python sklearn?,,2016,,,,,,,https://stackoverflow.com/questions/40815008/how-to-do-n-cross-validation-in-knn-python-sklearn,2022,March,22
Web site,Geeksforgeeks,How to randomly select rows from Pandas DataFrame,,2022,,,,,,,https://www.geeksforgeeks.org/how-to-randomly-select-rows-from-pandas-dataframe/,2022,March,22
Web site,Scikit Learn,3.1. Cross-validation: evaluating estimator performance,,2022,,,,,,,https://scikit-learn.org/stable/modules/cross_validation.html#stratification,2022,March,22
Web site,Scikit Learn,3.1.2.2.1. Stratified k-fold,,2022,,,,,,,https://scikit-learn.org/stable/modules/cross_validation.html#stratified-k-fold,2022,March,22
Web site,StatQuest with Josh Starmer,"StatQuest: K-nearest neighbors, Clearly Explained",,2017,,,,,,,https://youtu.be/HVXime0nQeI,2022,March,22
Web site,UCI Edu,Glass Identification,,1987,,,,,,,https://archive-beta.ics.uci.edu/ml/datasets/glass+identification,2022,March,23
Web site,Computerphile,Data Analysis 6: Principal Component Analysis (PCA) - Computerphile,,2019,,,,,,,https://youtu.be/TJdH6rPA-TI,2022,March,23
Web site,Stack Overflow,Plot trees for a Random Forest in Python with Scikit-Learn,,2020,,,,,,,https://stackoverflow.com/questions/40155128/plot-trees-for-a-random-forest-in-python-with-scikit-learn,2022,March,23
Web site,StatQuest with Josh Starmer,StatQuest: Decision Trees,,2018,,,,,,,https://youtu.be/7VeUPuFGJHk,2022,March,23
Web site,TDS,Evaluate ML Classifier Performance using Statistical Hypothesis Testing in Python,,2020,,,,,,,https://towardsdatascience.com/evaluate-ml-classifier-performance-using-statistical-hypothesis-testing-in-python-e4b90eb27dce,2022,March,26
